mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.3451639890670776,0.006104778836193049,0.021828818321228027,0.0005971501626698694,5,8,80,"{'max_depth': 5, 'min_samples_split': 8, 'n_estimators': 80}",-0.44857866626253373,-0.3555257621313122,-0.42513354985797575,-0.4484992685718701,-0.38323712530250204,-0.4542340157240919,-0.4068144915647352,-0.42525223444714016,-0.35169700694859757,-0.5191484013632917,-0.42181205221740503,0.04795833458916716,16
0.4224357843399048,0.004287129295606807,0.024796104431152342,0.001835159241192209,5,8,100,"{'max_depth': 5, 'min_samples_split': 8, 'n_estimators': 100}",-0.4435088791007716,-0.3527119455952726,-0.4239358324886726,-0.448148829471329,-0.38333376412579245,-0.4543229721409837,-0.40797737782403676,-0.42784242260076744,-0.34849721168445746,-0.5152143126578466,-0.420549354768993,0.047741092898385934,11
0.5396506071090699,0.022807213619890344,0.02866995334625244,0.0029114481135979887,5,8,120,"{'max_depth': 5, 'min_samples_split': 8, 'n_estimators': 120}",-0.4430246988002125,-0.3535494461493518,-0.4255465063990439,-0.44905908834650676,-0.3806361767597556,-0.4543076489328839,-0.4108203147973464,-0.42530058021250927,-0.35106582923056584,-0.5110312416342869,-0.42043415312624627,0.046579627843986206,9
0.40898308753967283,0.009027437572013733,0.02216341495513916,0.000704003908434868,7,2,80,"{'max_depth': 7, 'min_samples_split': 2, 'n_estimators': 80}",-0.45475795116940243,-0.34467696013979565,-0.42750180698533424,-0.44208450575561603,-0.39063003080183695,-0.457785184734052,-0.40846030825491925,-0.41965169519977696,-0.35199160942673685,-0.5085884150216615,-0.42061284674891325,0.047242535639742594,13
0.5025588274002075,0.008072856553580266,0.02474675178527832,0.002442344733812489,7,2,100,"{'max_depth': 7, 'min_samples_split': 2, 'n_estimators': 100}",-0.44656057660839077,-0.34167407783599335,-0.42606831959260305,-0.44325602180694706,-0.3920943255036602,-0.4571562243187672,-0.41134578723934273,-0.4214567364930593,-0.3471350336306079,-0.5056113195596508,-0.4192358422589022,0.047209291998757015,6
0.6110906839370728,0.013636807958546866,0.03033442497253418,0.007755121753338078,7,2,120,"{'max_depth': 7, 'min_samples_split': 2, 'n_estimators': 120}",-0.4461935954594475,-0.34081451612926933,-0.4307933915773893,-0.44486994277901176,-0.3892993112442443,-0.4573804755930395,-0.40804440120930907,-0.41846959544832085,-0.35024252259762834,-0.5031812569602437,-0.41892890089979035,0.04685117075472958,5
0.4122126340866089,0.017481743274947614,0.02261397838592529,0.0026146653618845787,7,5,80,"{'max_depth': 7, 'min_samples_split': 5, 'n_estimators': 80}",-0.4512304547067252,-0.34549131838563185,-0.42581047747113165,-0.4436846322430977,-0.3883526226294064,-0.4585033996911662,-0.4073150148946013,-0.41860093923975117,-0.3495441733258894,-0.512185996342345,-0.4200719028929746,0.04819831182114773,8
0.49909651279449463,0.01203412005284064,0.02526702880859375,0.002976010701398913,7,5,100,"{'max_depth': 7, 'min_samples_split': 5, 'n_estimators': 100}",-0.44481125713643177,-0.3420240212218535,-0.423531355372273,-0.44358162580940513,-0.3889755067378388,-0.4576907497242076,-0.4106317753109325,-0.42029671724284706,-0.347100841438689,-0.5103153151434451,-0.4188959165137923,0.04816049442285219,4
0.5856356143951416,0.006124129717806343,0.028743696212768555,0.004802909821376757,7,5,120,"{'max_depth': 7, 'min_samples_split': 5, 'n_estimators': 120}",-0.4435334027574987,-0.3424954413249726,-0.42740531395002374,-0.4450037124758604,-0.38703958726622417,-0.45699944231576517,-0.4083517377241998,-0.41863410354724184,-0.3498311519081633,-0.5079171059716374,-0.41872109992415874,0.04740298103535136,3
0.3806102991104126,0.00659289239016136,0.022963356971740723,0.004103376615716546,7,8,80,"{'max_depth': 7, 'min_samples_split': 8, 'n_estimators': 80}",-0.4485218262670319,-0.349700777565639,-0.4272731226248117,-0.4434939373867807,-0.38274227351377704,-0.4582340129646405,-0.40627356348833493,-0.4228263860448688,-0.3444797818737068,-0.5157977849594355,-0.41993434666890267,0.04928204130126536,7
0.4965935945510864,0.020537189179673204,0.026711273193359374,0.0037019607874280826,7,8,100,"{'max_depth': 7, 'min_samples_split': 8, 'n_estimators': 100}",-0.4413776703922828,-0.3455614433038042,-0.4248702338720064,-0.4446404341041152,-0.3853165120071078,-0.45716925521826324,-0.40861891109134196,-0.4254963173888677,-0.3411371164597347,-0.512447968321161,-0.41866358621586847,0.04911347216051032,2
0.5482261180877686,0.05273282595077256,0.021045279502868653,0.005902423827711269,7,8,120,"{'max_depth': 7, 'min_samples_split': 8, 'n_estimators': 120}",-0.44084372533647576,-0.3459761461649167,-0.4274389063066546,-0.445308972664892,-0.3830682327062505,-0.45747954316102685,-0.4098831445874846,-0.4222759164861652,-0.3442113354725893,-0.509288922324535,-0.41857748452109905,0.04814797318167034,1
